id,encuestador,archivo_origen,pregunta_num,pregunta_origen,texto,num_palabras,etiqueta,pos_score,neg_score,evidencia_pos,evidencia_neg
texto_0000,abraham,pregunta1_estudiante001.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"bueno en la escuela me la paso bien y me rio mucho con mis compañeros, pero en mi casa me gusta descansar y tener mi espacio a solas para desestresarme.",30,placentero,2,0,"bien, gusta",
texto_0001,abraham,pregunta1_estudiante002.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"aquí en el colegio me la paso super bien comparto mucho con mis amigos, aunque a veces salgo muy cansado y en la casa casi no me queda tiempo libre para mis cosas.",33,mixto,1,5,bien,"no me queda, casi no me, cansado"
texto_0002,abraham,pregunta1_estudiante003.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento más cómodo en el colegio porque me distraigo con mis amigos, pero al llegar a casa entre las tareas y ayudar con los deberes me queda muy poco tiempo.",31,mixto,1,1,cómodo,poco
texto_0003,abraham,pregunta1_estudiante004.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"cuando estoy en el colegio me quiero ir a mi casa pero cuando estoy allá me aburro, me gusta compartir con mis compañeros aunque el horario es agotador.",28,mixto,1,2,gusta,"aburro, agotador"
texto_0004,abraham,pregunta1_estudiante005.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"a veces con pereza y sueño en el colegio, en mi casa me siento un poco más activo pero la tarde se me pasa volando haciendo trabajos.",27,mixto,1,1,activo,poco
texto_0005,abraham,pregunta1_estudiante006.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en el colegio me siento super bien ya que me despejo, en mi casa paso más tiempo con mi familia o en el celular si no hay tanta tarea acumulada.",30,placentero,1,0,bien,
texto_0006,abraham,pregunta1_estudiante007.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"yo me siento bien ya que comparto tiempo en el colegio con mis amigos, y al llegar a casa me da tiempo de hacer mis actividades y entrenar un rato.",30,placentero,1,0,bien,
texto_0007,abraham,pregunta1_estudiante008.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"la verdad feliz en la escuela porque comparto con mis amigas, pero el tiempo libre en la casa a veces no alcanza por la cantidad de talleres.",27,mixto,1,2,feliz,no alcanza
texto_0008,abraham,pregunta1_estudiante009.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"bien, me parece equilibrado ya que intento manejar mi tiempo entre el colegio, el estudio en casa y compartir con mis amigos del barrio.",24,placentero,3,0,"bien, equilibrado, manejar",
texto_0009,abraham,pregunta1_estudiante010.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"el tiempo libre que me queda en la casa lo aprovecho para descansar o jugar videojuegos, pero trato de no descuidar los deberes del colegio.",25,placentero,2,0,"aprovecho, jugar",
texto_0010,abraham,pregunta1_estudiante011.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en la escuela a veces me da sueño y hambre, pero la paso chévere con la gente del salón, y en la casa me siento más relajado.",27,placentero,2,0,"chévere, relajado",
texto_0012,abraham,pregunta1_estudiante013.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"a veces me siento agotada porque me acuesto tarde estudiando y en el colegio me da sueño, pero en la casa trato de organizar mi tiempo libre.",27,desagradable,0,1,,agotada
texto_0013,abraham,pregunta1_estudiante014.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento alegre en el colegio por estar con mis amigos, pero en casa a veces me aburro un poco si no tengo planes o si hay mucho por hacer.",30,desagradable,0,4,,"no tengo, aburro, poco"
texto_0014,abraham,pregunta1_estudiante015.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"bien, siento que el tiempo en la escuela es productivo aunque largo, y en la casa trato de usar el tiempo libre para escuchar música y despejarme.",27,mixto,1,1,bien,largo
texto_0015,abraham,pregunta1_estudiante016.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me la paso bien en la escuela con mi grupo de amigos, pero me gustaría tener más tiempo libre por las tardes en casa para hacer deporte.",27,mixto,1,2,bien,me gustaría
texto_0017,abraham,pregunta1_estudiante018.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"siento que en el colegio el día es pesado por tantas materias juntas, pero en la casa me relajo bastante viendo videos o con la familia.",26,mixto,1,1,relajo,pesado
texto_0018,abraham,pregunta1_estudiante019.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento a gusto en la escuela porque socializo mucho, pero en la casa a veces me estreso si me queda poco tiempo libre para mí.",26,mixto,1,1,gusto,poco
texto_0019,abraham,pregunta1_estudiante020.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"bien pero cansado, en la escuela aprendo y me divierto pero el trayecto y la jornada me dejan agotado para disfrutar la tarde en casa.",25,mixto,3,2,"bien, aprendo, disfrutar","cansado, agotado"
texto_0020,abraham,pregunta1_estudiante021.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me gusta estar en el colegio por los momentos en los descansos con los compañeros, y en la casa me siento tranquilo aunque a veces desmotivado.",26,placentero,2,0,"gusta, tranquilo",
