id,encuestador,archivo_origen,pregunta_num,pregunta_origen,texto,num_palabras,etiqueta,pos_score,neg_score,evidencia_pos,evidencia_neg
texto_0046,abraham,pregunta2_estudiante013.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","estamos en grado décimo y las actividades son más extensas y complejas que en años anteriores, es un grado difícil con bastante exigencia.",23,desagradable,0,2,,"difícil, exigencia"
texto_0481,jorge,Jorge_Gomez_Estudiante_70.txt,general,"Respuesta general (mezcla ambos temas, sin separación clara en el archivo original)",Siento que paso mucho tiempo en la escuela y me queda poco tiempo libre en casa.,16,desagradable,0,1,,poco
texto_0387,jair,jair_pregunta2_respuesta005.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Son muchos además que son de un día para otro para realizar tareas largas, entre los exámenes es complicad, llego a mi casa a comer y estudiar, teniendo en cuenta que los exámenes muchos son temas complejos, talleres y múltiples actividades en plataformas es mas como una carga.",48,desagradable,0,1,,complicad
texto_0120,eberto,ESTUDIANTES_EBERTO_027.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Paso gran parte del día en la institución y normalmente llego muy cansado a casa, por lo que casi no puedo realizar otras actividades.",24,desagradable,0,5,,"no puedo, casi no puedo, cansado"
texto_0244,elvis,elvis_pregunta1_respuesta033.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Pienso que el horario escolar es muy largo.,8,desagradable,0,1,,largo
texto_0241,elvis,elvis_pregunta1_respuesta030.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Creo que el tiempo libre que tengo es suficiente si me organizo.,12,placentero,1,0,organizo,
texto_0796,menco,menco_pregunta1_respuesta092.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Creo que el colegio es importante, pero el tiempo en casa también es necesario.",14,placentero,2,0,"importante, necesario",
texto_0098,eberto,ESTUDIANTES_EBERTO_016.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,El horario me parece adecuado porque todavía tengo tiempo para descansar y compartir con mi familia.,16,placentero,1,0,adecuado,
texto_0693,marlon,estudiante_Marlon_030.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Bien porque pasamos mas tiempo en casa que en clase yo digo el que tenemos es ideal para el descanso y el aprendizaje.,23,placentero,1,0,bien,
texto_0024,abraham,pregunta1_estudiante025.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento cómodo en el colegio porque hay buen ambiente en el salón, y en mi casa aprovecho el tiempo libre para mis hobbies.",24,placentero,3,0,"cómodo, buen, aprovecho",
texto_0075,eberto,ESTUDIANTES_EBERTO_004.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica es equilibrada y me ayuda a aprender sin sentir demasiada presión.,14,mixto,2,2,"equilibrada, aprender","demasiada, presión"
texto_0813,menco,menco_pregunta2_respuesta011.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Me parece que las tareas son necesarias, pero deberían ser menos.",11,mixto,1,2,necesarias,deberían ser
texto_0454,jorge,Jorge_Gomez_Estudiante_46.txt,general,"Respuesta general (mezcla ambos temas, sin separación clara en el archivo original)",Me gusta ir a la escuela pero a veces siento que me queda poco tiempo libre en casa para descansar o hacer otras cosas,24,mixto,1,1,gusta,poco
texto_0876,menco,menco_pregunta2_respuesta074.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Creo que las tareas deberían ser más cortas y más enfocadas en lo importante.,14,mixto,1,2,importante,deberían ser
texto_0320,jaime,Encuesta_Jaime_015.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Cuando regreso del colegio me siento algo cansado, pero logro sacar tiempo para jugar o conversar con mi familia.",19,mixto,1,1,jugar,cansado
