id,encuestador,archivo_origen,pregunta_num,pregunta_origen,texto,num_palabras,etiqueta,pos_score,neg_score,evidencia_pos,evidencia_neg
texto_0011,abraham,pregunta1_estudiante012.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"regular, siento que pasamos muchas horas en la institución y cuando llegamos a casa apenas nos da tiempo de descansar un rato antes de estudiar.",25,revisar_manualmente,0,0,,
texto_0016,abraham,pregunta1_estudiante017.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en el colegio me distraigo bastante y la paso alegre, pero al llegar a casa el tiempo libre se pasa rápido entre tareas y la cena.",26,revisar_manualmente,0,0,,
texto_0041,abraham,pregunta2_estudiante008.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","normal, lo único que me disgusta es cuando dejan talleres muy largos de química o matemáticas para entregar de un día para otro.",23,revisar_manualmente,0,0,,
texto_0156,edgar,edgar_pregunta1_respuesta009.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en el colegio me divierto mucho, en mi casa me ponen a hacer oficios",14,revisar_manualmente,0,0,,
texto_0160,edgar,edgar_pregunta1_respuesta013.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"normal, vengo porque toca pero prefiero estar en mi casa viendo series",12,revisar_manualmente,0,0,,
texto_0163,edgar,edgar_pregunta1_respuesta016.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"aca me distraigo, en la casa paso sola",8,revisar_manualmente,0,0,,
texto_0164,edgar,edgar_pregunta1_respuesta017.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"siento que no descanso nada, de lunes a viernes es puro colegio",12,revisar_manualmente,0,0,,
texto_0172,edgar,edgar_pregunta1_respuesta025.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,siento que es mucho tiempo sentado en una silla,9,revisar_manualmente,0,0,,
texto_0179,edgar,edgar_pregunta1_respuesta032.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"normal, un dia a la vez, vengo y luego a mi casa a comer",14,revisar_manualmente,0,0,,
texto_0186,edgar,edgar_pregunta2_respuesta007.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",las tareas de sociales son muy largas,7,revisar_manualmente,0,0,,
texto_0192,edgar,edgar_pregunta2_respuesta013.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",yo las hago rapido asi que normal,7,revisar_manualmente,0,0,,
texto_0193,edgar,edgar_pregunta2_respuesta014.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",hay profes que creen que su materia es la unica,10,revisar_manualmente,0,0,,
texto_0197,edgar,edgar_pregunta2_respuesta018.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","mucha tarea, aja uno tambien tiene vida",7,revisar_manualmente,0,0,,
texto_0199,edgar,edgar_pregunta2_respuesta020.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",yo hago todo el mismo dia para no embalarme despues,10,revisar_manualmente,0,0,,
texto_0201,edgar,edgar_pregunta2_respuesta022.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","normal, aunque a veces no entiendo lo que mandan para la casa",12,revisar_manualmente,0,0,,
texto_0204,edgar,edgar_pregunta2_respuesta025.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",a mi me gustan los proyectos donde uno dibuja o hace maquetas,12,revisar_manualmente,0,0,,
texto_0207,edgar,edgar_pregunta2_respuesta028.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",yo copio las tareas a veces porque no me da el tiempo,12,revisar_manualmente,0,0,,
texto_0208,edgar,edgar_pregunta2_respuesta029.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","ps normal, toca hacerlas para pasar el año",8,revisar_manualmente,0,0,,
texto_0209,edgar,edgar_pregunta2_respuesta030.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",me parece mucha tarea para nuestro grado,7,revisar_manualmente,0,0,,
texto_0211,edgar,edgar_pregunta2_respuesta032.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",a veces siento que no voy a poder con todos los trabajos,12,revisar_manualmente,0,0,,
texto_0231,elvis,elvis_pregunta1_respuesta020.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,A veces siento que las tareas ocupan todo mi tiempo libre.,11,revisar_manualmente,0,0,,
texto_0264,elvis,elvis_pregunta2_respuesta013.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Las evaluaciones son muy seguidas y generan muchos estragos.,9,revisar_manualmente,0,0,,
texto_0265,elvis,elvis_pregunta2_respuesta014.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Pienso que algunas tareas son repetitivas y podrían reducirse.,9,revisar_manualmente,0,0,,
texto_0268,elvis,elvis_pregunta2_respuesta017.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",A veces las tareas ocupan todo mi tiempo libre.,9,revisar_manualmente,0,0,,
texto_0269,elvis,elvis_pregunta2_respuesta018.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Creo que las evaluaciones reflejan lo que aprendemos en clase.,10,revisar_manualmente,0,0,,
texto_0273,elvis,elvis_pregunta2_respuesta022.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Considero que algunas tareas podrían realizarse en clase.,8,revisar_manualmente,0,0,,
texto_0282,elvis,elvis_pregunta2_respuesta031.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Algunas semanas son muy pesadas por la cantidad de trabajos.,10,revisar_manualmente,0,0,,
texto_0295,jaime,Encuesta_Jaime_002.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La cantidad de trabajos cambia según la semana; algunas veces recibimos más actividades que otras.,15,revisar_manualmente,0,0,,
texto_0301,jaime,Encuesta_Jaime_005.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Las tareas me parecen útiles porque me permiten practicar los temas que vimos durante la clase.,16,revisar_manualmente,0,0,,
texto_0305,jaime,Encuesta_Jaime_007.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Algunas semanas hay bastantes tareas, pero otras son más tranquilas y permiten descansar.",13,revisar_manualmente,0,0,,
texto_0322,jaime,Encuesta_Jaime_016.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,La jornada me parece manejable y puedo combinar las tareas con otras actividades en casa.,15,revisar_manualmente,0,0,,
texto_0327,jaime,Encuesta_Jaime_018.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Los trabajos y evaluaciones son manejables y me ayudan a prepararme mejor para las clases.,15,revisar_manualmente,0,0,,
texto_0328,jaime,Encuesta_Jaime_019.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,En el colegio me siento motivado y al llegar a casa procuro terminar rápido para poder descansar.,17,revisar_manualmente,0,0,,
texto_0332,jaime,Encuesta_Jaime_021.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Algunos días tengo muchas actividades y me queda menos tiempo libre, pero normalmente me alcanza para descansar.",17,revisar_manualmente,0,0,,
texto_0343,jaime,Encuesta_Jaime_026.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Las evaluaciones son manejables y las tareas sirven para reforzar los conocimientos.,12,revisar_manualmente,0,0,,
texto_0345,jaime,Encuesta_Jaime_027.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Cuando tengo varias materias con trabajos, la carga aumenta, pero generalmente logro organizarme.",13,revisar_manualmente,0,0,,
